"Position","card name","intro offer","annual fee","credit score"
1,"Chase Sapphire Preferred® Card","60,000 points","$95","670-850"
2,"Capital One Venture Rewards Credit Card","75,000 miles","$95","670-850"
3,"Capital One Venture X Rewards Credit Card","75,000 miles","$395","740-850"
4,"The Platinum Card® from American Express","Earn 80,000 points","$695","670-850"
5,"American Express® Gold Card","60,000 points","$250","670-850"
6,"The Business Platinum Card® from American Express","120,000 points","$695","670-850"
7,"Ink Business Preferred® Credit Card","100,000 points","$95","670-850"
8,"Citi Premier® Card","60,000 points","$95","670-850"
9,"Capital One SavorOne Cash Rewards Credit Card","$200","$0","670-850"
10,"Capital One Spark Miles for Business","50,000 miles","$0 intro for first year; $95 after that","670-850"
11,"Citi Custom Cash℠ Card","$200","$0","670-850"
12,"Blue Cash Preferred® Card from American Express","$250","$0 intro annual fee for the first year, then $95.","670-850"
13,"American Express® Business Gold Card","70,000 points","$295","670-850"
14,"Capital One VentureOne Rewards Credit Card","20,000 miles","$0","670-850"
15,"Capital One Quicksilver Cash Rewards Credit Card","$200","$0","670-850"
16,,,,
