"Position","card name","intro offer","annual fee","credit score"
1,"Ink Business Unlimited® Credit Card","$900","$0","670-850"
2,"The Business Platinum Card® from American Express","120,000 points","$695","670-850"
3,"Ink Business Preferred® Credit Card","100,000 points","$95","670-850"
4,"American Express® Business Gold Card","70,000 points","$295","670-850"
5,"Capital One Spark Miles for Business","50,000 miles","$0 intro for first year; $95 after that","670-850"
6,"Capital One Spark Cash Plus","Up to $1,000 cash bonus","$150","740-850"
7,"Ink Business Cash® Credit Card","$900","$0","670-850"
8,"The Blue Business® Plus Credit Card from American Express","15,000 points","No annual fee","670-850"
9,"United℠ Business Card","75,000 Bonus Miles","$0 Intro for the First Year. $99 After","670-850"
10,"Bank of America® Business Advantage Unlimited Cash Rewards Mastercard® credit card","$300","$0","740-850"
11,"Southwest® Rapid Rewards® Performance Business Credit Card","80,000 points","$199","670-850"
12,"Bank of America® Business Advantage Customized Cash Rewards Mastercard® credit card","$300","$0","740-850"
13,,,,
